sample_id,bases,number_of_reads,coverage,avg_read_length,insert_size_metrics,platform,instrument_model,library_source,library_strategy,library_layout,seqencing center
BS_0SFXXBQ5,100649518526,670804399,54.903562,150.043021,343,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0SPCTBZY,32834652138,121161078,,271,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0T17SY47,47088290368,177023648,,266,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0TCRV9AC,61708443529,410779624,35.038333,150.222747,389,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0TEYTQJY,67714254241,450815553,35.724377,150.2039,373,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0TKQP4XJ,25782109208,255268408,200,101,146,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_0TTQDZ2K,70025658733,466034716,37.266361,150.25846,390,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0TX5YDGH,71850593301,478461549,38.153118,150.170047,349,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0V76MCTW,74845233200,498168024,32.890187,150.240942,389,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0VRSD9V3,35408795352,133115772,,266,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0VXZCRJS,18005442600,90027213,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_0W8AWY10,119410530252,795373534,67.155817,150.131385,406,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0WDJRMAB,66594281669,443602607,37.047224,150.121484,350,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0WQJP6ZG,10446140600,52230703,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_0WVJYM9R,45473437737,166569369,,273,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0X88TX85,56923699445,379163765,31.334195,150.129587,361,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0X9EGHY2,23636310088,90214924,,262,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0XD58YD9,120129562200,1201295622,73.880069,100,462,ILLUMINA,Illumina HiSeq 2500,GENOMIC,WGS,paired-end,BGI@CHOP Genome Center
BS_0XEG6SNV,62257566208,243193618,,256,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0XR7GYAV,114897604493,765759841,63.984922,150.043915,380,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0Y1Y2WA4,70145870512,466668041,37.254616,150.312137,402,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0Y66ZBWE,35750734302,132902358,,269,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0YFQF89N,70167747263,466846648,37.951066,150.301491,407,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0YJF1F95,48247675091,321576823,27.115469,150.034678,391,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0YV62XEX,66557532748,443114049,37.447933,150.204068,364,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0YVR8Q4E,75376243019,502268139,41.108289,150.071719,377,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0ZA67BBC,16559644274,81978437,,202,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,The Translational Genomics Research Institute
BS_0ZQ4019R,11783448507,116667807,200,101,193,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_0ZR4XA69,122009164773,812275041,69.310955,150.206714,372,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1021ZGQT,32879997700,119563628,,275,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1034EC8V,70998128812,472437055,39.989299,150.28061,390,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_10AD3EFX,116305312098,774657462,64.218782,150.137729,402,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_10APZRVT,26595460008,105958008,,251,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_10HD18B8,109834969373,731710366,62.191402,150.107166,388,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_10V9SAG8,128779982550,858533217,70.314271,150,347,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_11322HD1,130144365680,868474721,63.269218,149.853948,293,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1135HC0V,110976533827,738896894,61.957997,150.192178,382,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_11WY983P,29441429955,109447695,,269,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_12ZB7R6A,121934861100,812899074,69.716901,150,334,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_13CGKADW,32213414558,122484466,,263,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_13DJ6WHW,44620264901,441784801,200,101,161,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_14EZDZE6,68315353577,455044316,36.896636,150.129012,362,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_14G6WY88,70181786195,467462835,38.552164,150.133403,366,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_14PEVAHC,109328869350,728859129,50.370284,150,272,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WGS,paired-end,Novogene
BS_154FP4ZQ,121374548046,808667229,68.030937,150.092082,372,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_15ETQ0E4,34381563220,128289415,,268,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1607397Q,35948128544,134134808,,268,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_164KRQJ0,99676698043,664087274,55.881616,150.095781,399,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_169P1QCA,95995010550,639966737,53.533099,150,301,ILLUMINA,Illumina HiSeq 2500,GENOMIC,WGS,paired-end,BGI@CHOP Genome Center
BS_16JT2DCA,99082149550,660632969,51.553341,149.980631,340,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_16TBX6G5,129379768246,861732055,72.92917,150.139208,393,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1739JAKK,37276225420,123431210,,302,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,Novogene
BS_17FVWMNV,125639020211,836316836,69.574004,150.228974,421,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_17SAB1QN,38465829694,127370297,,302,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,Novogene
BS_17WYVEEC,27262085840,111729860,,244,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_185Q218S,88369006931,589291522,47.760857,149.958049,376,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_18NCV5QZ,104053245439,693198572,57.154798,150.105972,357,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_18RH1034,127218298042,856123085,61.727624,148.59814,304,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_196BBNEJ,31594443740,119224316,,265,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_19EJ85F8,97554944854,650797804,53.162574,149.900544,340,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1A6MQ9ZA,14520063400,72600317,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_1AYRM596,29110995441,111536381,,261,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1AZ8YJSH,142798671613,952476164,71.709598,149.923617,321,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1B00Q25Y,39086341884,386993484,200,101,170,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_1B4Q7CNG,102273770101,681722044,57.341085,150.022683,349,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1B8B622B,48811133400,325407556,21.824594,150,273,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WGS,paired-end,Novogene
BS_1BJNPHMD,33418634400,111395448,,300,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,Novogene
BS_1BQ1WBCT,53978726154,359467924,31.741182,150.162845,379,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1BWP5MCT,54071292730,208769470,,259,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1C3RDKQH,60702110100,403913589,34.552867,150.284892,402,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1C4WCNQF,111219160613,740639652,60.32041,150.16636,353,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1CQ01RV2,11457901065,113444565,190,101,185,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,The Translational Genomics Research Institute
BS_1CXWXC2H,55080643456,366562595,30.941046,150.262586,404,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1CZPVCXR,125507991000,836719940,70.496517,150,385,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_1D6PZNKN,30432492880,111884165,,272,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1DM8G1V8,59633502150,397556681,31.745093,150,349,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_1EBQ3T20,28052125464,106258051,,264,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1EN5V3XW,31856632044,123475318,,258,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1EQGGHHQ,100504644358,669728812,55.582882,150.067673,351,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1EWXJPWR,59477220148,396263459,31.229803,150.095142,382,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1EYKDS0Z,122232463112,814337503,67.868084,150.100496,375,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1G3WYEN3,35479224816,128547916,,276,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1G71S350,73211086561,487516536,38.362841,150.171494,392,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1GB3Q1J3,106282530456,708132504,59.824849,150.088479,395,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1GEXQEBZ,67191623393,447398187,38.188045,150.183048,374,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1GFP3T8N,84484057800,563227052,40.55,150,289,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WGS,paired-end,Novogene
BS_1GK2EMFY,106590603292,710045713,59.994306,150.117945,360,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1GMX5YEM,51968773588,346165254,29.314108,150.127065,410,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1GWZCWVG,61986804053,412666546,35.456694,150.210393,403,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1HFK0SXV,28976732400,118757100,,244,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1HHS9AFK,41843134048,138553424,,302,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,Novogene
BS_1HQ76V6D,10611121400,53055607,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_1HQACYRD,60894616200,405964108,27.742779,150,284,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WGS,paired-end,Novogene
BS_1HQWNZCB,64766005594,431376691,35.916351,150.137935,380,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1J2WQ08M,41724201600,153397800,,272,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1JDG6JV5,37319358725,135706759,,275,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1JGQPJH3,137415870895,916666537,73.492212,149.908244,360,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1JMTTKMK,133031535337,886164916,72.25715,150.120517,377,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1K0Q5YZY,58880131900,391841776,34.350475,150.26507,429,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1KR45PME,47553797626,316748665,27.161395,150.131012,395,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1KT7DF0G,65851789836,438316085,37.446617,150.238132,389,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1KYGSMA7,34897840212,129731748,,269,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1M63B97V,108209083945,720728550,60.277233,150.138473,358,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1MME7FBS,135228947660,899805829,72.233566,150.28681,418,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1MMZN94J,50808483587,338139766,28.769595,150.258824,396,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1N7MQZGR,16504644926,81706163,,202,,ILLUMINA,Illumina NovaSeq 6000,TRANSCRIPTOMIC,RNA-Seq,paired-end,The Translational Genomics Research Institute
BS_1N9XZXGE,37359640056,139401642,,268,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1NPD7PVG,32852902590,121677417,,270,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_1NPNHFPC,45439458882,302626607,25.526577,150.150244,398,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1NWVFBTQ,52817873970,351525555,30.76252,150.253298,398,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_1Q524P3B,145743872270,970753315,77.904446,150.134818,399,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
